,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus,0.01948051948051948,0.00012774267961729047,0.024187584198372,0,0,8.674172185430464,77.76822682525174,IL4R;IFITM2;IRF1;GBP2;GBP4;ZFP36L1
1,GO_Biological_Process_2023,Sequestering Of Actin Monomers,0.25,0.00017676086739790736,0.024187584198372,0,0,135.66666666666666,1172.256699198754,TMSB4X;TMSB10
2,GO_Biological_Process_2023,"Regulation Of CD8-positive, Alpha-Beta T Cell Activation",0.2222222222222222,0.0002268935624318299,0.024187584198372,0,0,116.2798833819242,975.7079361806792,IRF1;HLA-A
3,GO_Biological_Process_2023,Detection Of Bacterium,0.16666666666666666,0.0004139409991332273,0.024187584198372,0,0,81.38367346938776,633.9614904314446,HLA-B;HLA-A
4,GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway,0.15384615384615385,0.0004884058068615739,0.024187584198372,0,0,73.98144712430427,564.0614766653882,HLA-B;HLA-A
5,GO_Biological_Process_2023,"Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent",0.15384615384615385,0.0004884058068615739,0.024187584198372,0,0,73.98144712430427,564.0614766653882,HLA-B;HLA-A
6,GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib,0.15384615384615385,0.0004884058068615739,0.024187584198372,0,0,73.98144712430427,564.0614766653882,HLA-B;HLA-A
7,GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib,0.15384615384615385,0.0004884058068615739,0.024187584198372,0,0,73.98144712430427,564.0614766653882,HLA-B;HLA-A
8,GO_Biological_Process_2023,Cellular Response To Type II Interferon,0.045454545454545456,0.0006382778413540298,0.024187584198372,0,0,19.728174603174605,145.1349897058961,IRF1;GBP2;GBP4
9,GO_Biological_Process_2023,Alpha-Beta T Cell Activation,0.13333333333333333,0.0006553286359164845,0.024187584198372,0,0,62.59340659340659,458.83306235776007,TRBC1;HLA-A
10,GO_Biological_Process_2023,Defense Response To Protozoan,0.13333333333333333,0.0006553286359164845,0.024187584198372,0,0,62.59340659340659,458.83306235776007,GBP2;GBP4
11,GO_Biological_Process_2023,Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity,0.125,0.0007477269425466376,0.0252980948894945,0,0,58.1195335276968,418.3718752445384,HLA-B;HLA-A
12,GO_Biological_Process_2023,Regulation Of Adaptive Immune Response,0.1111111111111111,0.0009502488602876736,0.0296770028674458,0,0,50.849489795918366,353.8507507245636,IRF1;SAMSN1
13,GO_Biological_Process_2023,Regulation Of B Cell Differentiation,0.10526315789473684,0.0010603134017817,0.0302501683618972,0,0,47.85594237695078,327.7744779803496,CD27;ZFP36L1
14,GO_Biological_Process_2023,Response To Type II Interferon,0.0375,0.0011176170577055,0.0302501683618972,0,0,16.12987012987013,109.62757347108416,IFITM2;GBP2;GBP4
15,GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen,0.09523809523809523,0.0012979027758576,0.0318015387385699,0,0,42.81417830290011,284.5860815063359,HLA-B;HLA-A
16,GO_Biological_Process_2023,Defense Response To Gram-positive Bacterium,0.03529411764705882,0.0013315915235361,0.0318015387385699,0,0,15.142530487804878,100.26445484950855,HLA-A;GBP2;GBP4
17,GO_Biological_Process_2023,Cellular Response To Interferon-Beta,0.09090909090909091,0.0014253691779825,0.0321499936811615,0,0,40.67142857142857,266.5330663196843,IFITM2;IRF1
18,GO_Biological_Process_2023,Negative Regulation Of Actin Filament Polymerization,0.08695652173913043,0.0015585779465969,0.0333043498062303,0,0,38.73275024295432,250.36777892881815,TMSB4X;TMSB10
19,GO_Biological_Process_2023,Regulation Of B Cell Activation,0.08,0.0018421068847796,0.0373947697610277,0,0,35.36113575865129,222.6636020827002,SAMSN1;ZFP36L1
20,GO_Biological_Process_2023,Response To Interferon-Beta,0.06896551724137931,0.0024768063483714,0.0478849227351818,0,0,30.11640211640212,180.7220634534563,IFITM2;IRF1
