,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
MALAT1,-0.01470113081582801,0.004964435620636947,0.02032672082071523,0.005929404990640319,0.0012423072001731207,0.0015724297789035707,-0.09522804959193285,-0.006231119542855897,0.005758683534426121,-0.07012369073987619,-0.004408524638112579,0.02498337268351931,-0.01610032998446266,0.0034467024291871843,-0.0012234344492897675,-0.05484203725229203,-0.01932417826997497,-0.01393516163809585,-0.027899872914137973,0.0034032617400272165,-0.060069885794348965,-0.41849318230200894
CCL5,-0.08096593720109639,-0.06102000008428816,0.019770575201525382,0.06928907460714126,0.0023651020985998384,0.0026376470364309207,-0.043481718777786095,0.015145293162801214,-0.0277183774613115,-0.028125776292209668,-0.004449225347255243,0.04839812996412704,0.006378457613999994,-0.001733345439514944,-0.0007444597443017357,-0.005305665389120256,-0.02258891222849723,0.008059572658416846,-0.07913254388138315,-0.00895476012843011,-0.022529560990386485,-0.26201950744037283
TMSB4X,0.021388167348835155,0.010821174566831957,-0.0001282415026580578,-0.19065727540463756,-0.003199584311194158,-0.025247168741043005,0.12248550861315234,-0.0234286158726204,3.406327037056185e-05,-0.033815840662422325,0.009742299206102248,0.04531096026786148,-0.02403613564613662,0.018055194762643324,5.146803201092733e-05,-0.013446053985770257,0.08356549908053197,0.013455830116801473,-0.07339419359117916,-0.0022664422153051197,-0.031248652266098915,0.3181773066702025
H4C3,-0.012139371163319713,0.0015446943903527702,0.018992791728593986,0.02437596511543593,0.002375629056189079,-0.06916127545756257,0.014157975068476821,0.0003667885218034986,-0.03728860055286691,0.039290303334993844,-0.0023682658301907964,0.019534961837715584,-0.0013217636459898628,0.047278175114900005,-0.010965508568361877,-0.005780935201604611,0.06958846763828919,-0.007219104043901118,0.004354384016970327,0.002936516513719463,0.022117193298052108,0.17171259944183254
B2M,-0.04696928887954962,-0.027024965781105165,0.015391030213116762,-0.0927406312906944,0.0042431631506166835,-0.0252267719463156,0.030577449416073085,-0.013098473239568255,-0.012183545664428655,-0.057592034785074235,0.01197307806312364,0.10332315418086735,-0.015016773726258412,0.0027734422713446153,-0.0025924348501106843,-0.04421858497134321,-0.021086739939380345,0.011223329729587419,-0.18625071520789832,-0.011369351966284483,-0.045461716823604344,-0.30691626995319693
TMSB10,0.027581323823454816,0.005028609560413224,0.013306974309015833,-0.10493080167240049,-0.00038003950690811486,-0.01038688490288401,0.06696443276324397,-0.00660606649086361,-0.012470577847331042,0.013635166587553699,0.011421612338805653,0.0821170194822611,-0.00522569234954481,0.017462452241960663,7.926816092165996e-05,-0.06718616462119398,0.08487180004555372,0.010542739946801861,0.1685005695836528,-4.30543429548795e-05,0.008320513121773924,0.4484075078799531
TUBA1B,-0.0349779671239557,-0.01999239474535103,-0.0023228108328841287,-0.018992467694407048,0.0018145494690900701,-0.048286146584148155,0.1343443451393407,-0.013932662969456737,-0.0016779736777326735,0.05947908472183126,0.004973058148721577,0.03049649939624597,6.205362345707531e-05,0.04718220784447322,0.000621581505777546,0.021513569379960705,0.11606072396049032,-0.0027048249655164253,0.006357845911067483,0.004807901714330668,0.042658332901865374,0.3449562021052636
LGALS1,-0.09574993189279764,-0.05465144016374093,0.02355250610378371,-0.023973703704419022,-0.0018229964486358896,0.05091837739339258,-0.0050495140984802445,0.0042763944317687815,-0.013952345885792939,0.029092199905630875,0.0012662995471265119,0.07226984688656228,0.008567092007013579,0.009626463105396237,0.003322061817895422,0.06915006842127217,0.08282529191262877,0.011482362902800037,0.19639226304491983,-0.003271306282139197,0.02329087907777248,0.3249273124629928
LTB,-0.027982331609945,0.00408939668704857,0.012216343303704118,-0.009102040552639187,0.006356052526183925,-0.06133180205979427,-0.05620268134519173,-0.018594668403218308,-0.007296389684363939,-0.021497770915111056,2.9404969198793506e-05,0.13173670314968522,-0.02061605794160934,-0.0031523305236954313,-0.0003629074857202492,-0.0651807150794897,-0.006933618624817003,0.000987372802065885,0.03320219463398143,-0.001705252292332926,-0.021180158275130763,-0.3549270244972789
GNLY,-0.059329128429296815,-0.04861188083943119,-0.008007644346275652,0.015073857063712552,0.00024167551096563,0.007687878487213593,0.022165002191729025,-0.003537300284170434,-0.021611820544151325,-0.006310477121358271,0.0028280616395602175,0.025403889516397368,-0.005712035667831829,0.008195258785551392,-0.001991663359252232,-0.011581354477552075,0.03120581462692396,-0.00019384332804807652,0.0400108722680278,0.000365985979543094,-0.009301480744811576,0.06824108889009875
