orig.ident,nCount_RNA,nFeature_RNA,perturbation,gRNA_UMI_count,replicate,perturbation_2,library,cancer,celltype,organism,disease,tissue_type,perturbation_type,perturbation_type_2,ncounts,ngenes,percent_mito,percent_ribo,nperts,guide_id,target,mixscale_score
SeuratProject,2583,493,ES.sg35.TCEB2,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8722,2642,3.3707864,27.4593,1,ES.sg35.TCEB2,TCEB2,0.25913103
SeuratProject,2465,545,ES.sg2.BTLA,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7296,2356,5.9210525,29.605263,1,ES.sg2.BTLA,BTLA,1
SeuratProject,1977,411,ES.sg33.STAT6,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6467,2154,2.8606772,28.79233,1,ES.sg33.STAT6,STAT6,1
SeuratProject,3307,534,ES.sg7.CBLB,6,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,12151,3121,3.0450168,27.997696,1,ES.sg7.CBLB,CBLB,0.870576313
SeuratProject,3115,531,ES.sg4.C10orf54,7,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,11170,2964,3.2408237,31.880035,1,ES.sg4.C10orf54,C10orf54,1
SeuratProject,1124,317,ES.sg22.LCP2,2,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3686,1537,2.9028757,26.695604,1,ES.sg22.LCP2,LCP2,-0.529347301
SeuratProject,2596,506,ES.sg15.DGKA,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7756,2324,4.80918,28.442495,1,ES.sg15.DGKA,DGKA,1
SeuratProject,4113,649,ES.sg25.MEF2D,5,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,13837,3106,5.217894,35.39062,1,ES.sg25.MEF2D,MEF2D,1
SeuratProject,1196,355,ES.sg19.HAVCR2,2,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3776,1552,2.8601694,25.76801,1,ES.sg19.HAVCR2,HAVCR2,1
SeuratProject,1711,384,ES.sg16.DGKZ,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5842,2056,2.892845,29.32215,1,ES.sg16.DGKZ,DGKZ,1
SeuratProject,1927,405,control,2,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6197,2030,3.5501049,28.465387,1,ES.sg43.NonTarget.CTRL108,NonTarget,0
SeuratProject,1566,398,ES.sg34.TCEB2,2,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4333,1770,3.1156242,18.370644,1,ES.sg34.TCEB2,TCEB2,-0.335693909
SeuratProject,1813,463,ES.sg36.TMEM222,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6284,2302,3.1190324,27.753023,1,ES.sg36.TMEM222,TMEM222,1
SeuratProject,1365,328,ES.sg4.C10orf54,3,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4500,1454,2.2222223,39.511112,1,ES.sg4.C10orf54,C10orf54,1
SeuratProject,863,256,ES.sg2.BTLA,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,2678,1104,2.501867,33.495144,1,ES.sg2.BTLA,BTLA,1
SeuratProject,4463,697,control,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,14285,3360,4.0252013,27.644382,1,ES.sg42.NonTarget.CTRL125,NonTarget,0
SeuratProject,2255,468,ES.sg21.LAG3,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7366,2360,2.7423296,27.993484,1,ES.sg21.LAG3,LAG3,1
SeuratProject,880,290,ES.sg15.DGKA,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,2675,1112,1.682243,34.61682,1,ES.sg15.DGKA,DGKA,1
SeuratProject,3479,613,ES.sg15.DGKA,3,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,12667,3355,4.5709324,27.283493,1,ES.sg15.DGKA,DGKA,1
SeuratProject,4424,694,ES.sg10.CD5,5,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,15732,3786,4.8690567,26.665396,1,ES.sg10.CD5,CD5,1
SeuratProject,2467,549,ES.sg10.CD5,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7071,2213,6.8165746,30.236176,1,ES.sg10.CD5,CD5,1
SeuratProject,1853,465,ES.sg39.TNFRSF9,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5900,2081,2.8644068,26.762712,1,ES.sg39.TNFRSF9,TNFRSF9,1
SeuratProject,1621,387,control,1,D1,Stim,D1_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4861,1839,2.3863401,24.04855,1,ES.sg45.NonTarget.CTRL232,NonTarget,0
