"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"GNLY",-0.793448701334341,-0.495777108180032,6.95231714701356e-05,"standard"
"YPEL3",-0.435286706066702,-0.289617018963033,0.000142684954719461,"standard"
"PRF1",-0.477325335239021,-0.332950838252899,0.000166310458478242,"standard"
"GZMA",-0.599426628832,-0.402658833114334,0.00018486724476803,"standard"
"BCL2",0.493121218960242,0.353045975563156,0.00046719303710873,"standard"
"DDIT4",0.316639149429628,0.228602977125181,0.00102346705205174,"standard"
"CDT1",-0.432239980147002,-0.266949124050321,0.00142462375959768,"standard"
"GZMB",-0.483863474327735,-0.249502844811639,0.00184348415642749,"standard"
"C12orf76",-0.64668142087928,-0.451083619770174,0.00208512082273307,"standard"
"CD63",-0.211007135251087,-0.131589520042568,0.00219796401025128,"standard"
"PRDM1",-0.551878765679109,-0.386840248372512,0.00223295278648524,"standard"
"LETM1",-0.55999011749932,-0.374383377879103,0.00241232802342994,"standard"
"ZNF121",0.649990067577108,0.456014242204378,0.00251685388933665,"standard"
"MAL",-0.372735473004256,-0.261452101580617,0.00279373476095817,"standard"
"PRKCDBP",0.49949074383597,0.354135118349256,0.00290608189217037,"standard"
"PYHIN1",-0.561762688112882,-0.383739349933353,0.00370968979690852,"standard"
"CCL5",-0.23639176087649,-0.158816252917384,0.00382897150630556,"standard"
"SLC38A2",-0.43943998285318,-0.286545491101889,0.0047699223332995,"standard"
"LINC00869",-0.568078937476495,-0.399335997283103,0.00526567274132595,"standard"
"GLIPR1",-0.438069623121106,-0.283113822864064,0.0054252831043432,"standard"
"FGFR1",0.209814418100187,0.181635620640156,0.00542852261052416,"standard"
"TMEM181",-0.662157006517668,-0.460366303972875,0.00599598710938913,"standard"
"BTAF1",0.53264958314688,0.38164333830318,0.00599765739933959,"standard"
"TNFRSF25",-0.439523513237993,-0.301382519528309,0.00627001884408838,"standard"
"PTPN4",-0.402427617074726,-0.279683083756471,0.0063185896883833,"standard"
"NKG7",-0.21967334955909,-0.154705506146083,0.00652525585638569,"standard"
