,gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj,trt
0,RP11-34P13.7,0.0,inf,,0.0,,,,,ARID1A
1,RP11-206L10.9,0.0,inf,,0.0,,,,,ARID1A
2,LINC00115,0.0,inf,,0.0,,,,,ARID1A
3,PLEKHN1,0.0,inf,,0.0,,,,,ARID1A
4,ISG15,-0.12163203041546021,0.04535659282320724,-2.6816835843371756,0.0,0.00732527090625263,0.008794473424023922,0.41672868213751746,0.9870226048416727,ARID1A
5,TNFRSF18,-0.3175337317025281,0.13618736746265944,-2.331594608358893,0.0,0.019722027739023842,0.022431607725264632,0.3419695499031814,0.9870226048416727,ARID1A
6,TNFRSF4,0.15330325443115578,0.2237157441683498,0.6852591220213475,0.0,0.49318042203976364,0.4998609536530513,0.03227758946952643,0.5794373781086989,ARID1A
7,ATAD3C,0.0,inf,,0.0,,,,,ARID1A
8,TMEM240,0.0,inf,,0.0,,,,,ARID1A
9,C1orf233,0.0,inf,,0.0,,,,,ARID1A
10,RP11-345P4.9,-0.26373571772091375,0.16255461868418328,-1.6224437044960784,0.0,0.10470837770376439,0.1108062033603896,0.21863546405861622,0.9870226048416727,ARID1A
11,MIB2,-0.6201331690465477,0.059522542165118736,-10.418459065915984,0.0,2.0423528048186858e-25,8.380234734610864e-24,0.025000313666585384,0.5213180161294526,ARID1A
12,SLC35E2B,-0.6242497462974497,0.07531220057403665,-8.288826266386582,0.0,1.1437145715557163e-16,1.065791161185986e-15,0.1612480965913049,0.9870226048416727,ARID1A
13,RP11-345P4.7,0.0,inf,,0.0,,,,,ARID1A
14,SLC35E2,-0.8640888527988755,0.1991228197033146,-4.3394767816483055,0.0,1.4282235508388032e-05,2.5267042512753236e-05,0.8745977754749479,0.9897835422247491,ARID1A
15,CFAP74,0.0,inf,,0.0,,,,,ARID1A
16,RP5-892K4.1,0.0,inf,,0.0,,,,,ARID1A
17,SKI,-0.41972237254971695,0.13537112130150827,-3.100531106740862,0.0,0.001931739222395087,0.002508598561395151,0.5177605540307695,0.9870226048416727,ARID1A
18,PLCH2,0.0,inf,,0.0,,,,,ARID1A
19,RP3-395M20.12,-0.3627207552165687,0.12349508551591978,-2.9371270419486475,0.0,0.0033126836596686087,0.0041555558334304445,0.4769028717010725,0.9870226048416727,ARID1A
20,RP3-395M20.8,-0.4155734030385249,0.0888173951097535,-4.678964098474091,0.0,2.883279177916494e-06,5.612136364666841e-06,0.980984919300197,0.9979969689788993,ARID1A
21,TTC34,0.0,inf,,0.0,,,,,ARID1A
22,MEGF6,0.0,inf,,0.0,,,,,ARID1A
23,RP11-46F15.2,0.0,inf,,0.0,,,,,ARID1A
24,TPRG1L,-0.28427155906863216,0.104156446343849,-2.72927475012131,0.0,0.006347379561876377,0.007707748737667543,0.4275875089297113,0.9870226048416727,ARID1A
25,CEP104,-0.4860743946321203,0.06080684819925656,-7.993744274317826,0.0,1.3090113792920138e-15,1.0605493467894532e-14,0.1989933218385831,0.9870226048416727,ARID1A
26,TNFRSF25,-0.4392670132317848,0.05232337329014406,-8.395234970726317,0.0,4.649634597383824e-17,4.656956856592302e-16,0.14905342480159445,0.9870226048416727,ARID1A
27,NOL9,-0.17285347506338464,0.07996491559190093,-2.16161642620294,0.0,0.03064775426584948,0.03415150541056552,0.3089789086436686,0.9870226048416727,ARID1A
28,UTS2,-0.5369930916663902,0.06120380422153273,-8.77385153580805,0.0,1.726568355601036e-18,2.336377604600551e-17,0.11131432327981002,0.9714256036512716,ARID1A
29,TNFRSF9,-0.30702076126913813,0.10925206111027827,-2.8102056670512927,0.0,0.004950985075930457,0.00609352009345287,0.4464269484300304,0.9870226048416727,ARID1A
30,ENO1,-0.048116842540422894,0.018123217577537654,-2.654983439588567,0.0,0.007931230206743406,0.009472793261011843,0.4107084360354265,0.9870226048416727,ARID1A
31,CA6,-0.3019063095956459,0.14848910748304323,-2.033188256789288,0.0,0.042033507021583955,0.04615159338062563,0.2854960434729499,0.9870226048416727,ARID1A
32,MIR34AHG,0.0,inf,,0.0,,,,,ARID1A
