,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
RP11-34P13.7,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
RP11-206L10.9,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
LINC00115,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0025637686136462225,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAMD11,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
PLEKHN1,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.001731137112518181,0.0,0.0,0.0,0.0024774516740624273,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
ISG15,0.03654233694049301,-0.09766125241190932,0.023556070601026328,-0.0042187590085150835,0.013852793567429304,-0.0397970650247871,-0.08307719754840827,-0.00754080692199685,-0.015255287551190709,-0.0,-0.04097715851662707,0.030649921792201076,0.006702539753490861,0.027373817415622594,0.0,0.004872574832666141,0.0,-0.0,-0.006401792478394053,0.016539247628154778
RP11-54O7.11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
TTLL10,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
TNFRSF18,-0.01776148709376487,-0.0,-0.024407820303934503,0.041338525176644596,-0.012961282899482392,0.027744964573629478,-0.0,-0.0,0.018215748250489206,0.000631692473195268,-0.002816959884855066,-0.00209946478617351,0.017536491005819624,0.0,0.0,0.0,-0.0,0.030338747976551735,-0.023171851206297348,0.025278376727388113
TNFRSF4,-0.0,0.009492308752480534,-0.0075393670065346885,0.0057355811385376996,-0.0,0.008553551521849822,-0.011005933238090604,0.01116554678122136,0.03749518039986182,-0.002853468082729141,-0.0,0.00365863980506101,0.01624541533207911,-0.0011262066223912326,-0.015507287966081239,-0.005781377726676487,0.015256780109884484,0.03972076800814834,-0.020465998845872916,0.01521398037653391
RP5-902P8.10,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
MXRA8,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
ATAD3C,-0.0,0.0001886005896638095,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
TMEM240,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
C1orf233,0.0,0.003168022372921975,-0.0,0.0023023729159523084,0.0,-0.0,0.0,-0.0009297009494203689,0.0,-0.0,-0.0,-0.0,-0.0,-0.0001513881906640582,0.0006984308486347273,-0.0,0.0,0.0,-0.0,-0.0
RP11-345P4.9,0.0,-0.0,-0.0,-0.000942068822505408,0.0056243177703047,0.00672885773589259,0.0,0.00030624967904431587,-0.0,0.0,0.003689965607247132,0.0,0.0,-0.0,-0.004290899384035599,-0.0,-0.0,0.0035736362048517053,-0.0,-0.0025436611835886603
MIB2,-0.022742291021411547,0.0,-0.0075088214719782305,-0.0,0.003392202530144993,-0.009774810712359932,0.01535730518544152,-0.008694675360539824,-0.0033767389103947156,-0.023990177648147815,0.0,0.002425761100858463,-0.011382159597556214,0.0,-0.0009081821979058417,0.005324051477820963,0.0,0.030164795196572943,-0.002272960615337703,-0.02342523836445831
SLC35E2B,-0.005753778217910904,-0.003577484126267169,-0.0,-0.0063690077178402684,-0.0,-0.013755081899135598,0.0,-0.0,0.0,-0.005246650214882039,0.020578131700772617,-0.0,-0.0,0.0002106926301841418,0.0,-0.0,-0.0,0.006260422905894752,5.50640115018136e-05,-0.016782851169811326
RP11-345P4.7,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
SLC35E2,-0.00018762517875417706,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0017069764892020816,0.0,-0.0,0.0002694261604219446,0.0,-0.0,0.0020571305343210803,0.0,-0.0,-0.0,-0.0,-0.0
RP1-140A9.1,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
CFAP74,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
RP5-892K4.1,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
SKI,0.0,-1.959669507338077e-05,-0.0,-0.005603332248918497,0.0,-0.0,0.003224816895449367,-0.0,-0.00905933807062161,-0.000984362955254594,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0036261126674230217,0.0,-0.0,-0.0007302822268325437
PLCH2,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
RP3-395M20.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RP3-395M20.12,-0.0,-0.0,0.0,0.0,-0.0,0.009457192830656186,0.0,0.0013065570359900396,-0.0,0.0,0.00285340776478204,0.0,-0.0,-0.0,-0.0,-0.007087731136285407,0.0004766388976090202,0.0,0.0,0.0
RP3-395M20.8,0.0,0.0,0.01480300176716511,0.020846863635717937,0.007439719198258619,-0.0,-0.00637543965702832,-0.0028410815665155975,0.0,-9.939967007281794e-05,0.00447549865836479,-0.0,0.003211781336935651,-0.0,0.0,-0.005631362210077318,-0.0,-0.006348422281476033,-0.0026283268380141666,-0.002636373455756889
TTC34,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0008461641395408974,-0.0,-0.0,0.0017845587182841827,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
PRDM16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MEGF6,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP11-46F15.2,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
TPRG1L,0.0,0.0,0.0,-0.0,-0.002495004090372224,0.005467130020118845,-0.009642637762267625,-1.750375564621488e-05,-0.003481546619569725,-0.0,0.0,0.009721370011473968,-0.0,0.0050905906440335295,0.0,0.005908527585116896,-0.0,-0.010170838074997524,0.001508658814054966,0.005751905647906882
RP1-286D6.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CEP104,-0.005516690697850608,0.0027686302676547037,0.0004877351132573552,9.681234422976635e-05,-0.0,0.0,-0.001143311746080062,0.003186991459246201,0.0,-0.0,-0.026989176106279354,0.02074000134712824,0.024508572666639115,-0.0,-0.0131737563113388,-0.012707262800424907,0.0,-0.0,0.011321183333353878,0.005888165446801976
CHD5,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TNFRSF25,-0.0013983678703374202,-0.0021156887939639646,-0.005055867048148394,0.0035030753578333593,0.007515042482804726,-0.008156728701884929,0.002927980046491938,-0.007363751013894277,-0.03964801402528334,-0.0014269752514059222,0.01698737752808786,0.016966582455005538,-0.0,0.010745048447967129,-0.01931580286392182,-0.021193482310573063,0.0,-0.01719947467444857,0.024721694988302505,0.0
NOL9,0.0032216746054788224,-0.0,-0.0,0.0,-0.0,0.0,0.010164271857982436,0.0007053484397368958,0.0067849508818743865,0.0,-0.00984677869174008,-0.010593099097222839,-0.0,-0.0007320560670702048,0.0,0.0028880106050055386,-0.00575191862809643,0.0,-0.0,-0.0
RP11-242F24.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
UTS2,-0.0007301966399775022,-0.016697286689946494,0.0011824045660172632,-0.0011007058519382253,-0.03613929957579325,0.0011478646028719249,-0.04701045434107266,-0.01136485257097505,-0.0024121933021076384,-0.0,-0.0,0.02709223441663515,-0.0,-0.0014433838687124994,0.011343927870631291,0.0,-0.0,-0.013146920174339596,0.0167561285151592,0.029429435066916476
TNFRSF9,-0.0,-0.0016144234047282754,0.005319449057191147,0.05243299399582532,0.002576880366309905,0.035778881634285054,-0.0,-0.0,0.005254584239451867,0.013041155975969264,-0.005660014006044331,-0.00510332847972625,0.010828280665141712,0.013250251298896384,0.0066631024046306785,-0.0,-0.014822822077612157,-0.0066299060065258325,0.023020005619192107,0.006299366316316516
ENO1,-0.05781648603132539,-0.009053772432054102,0.0,0.013988146226140209,-0.0847235905393595,0.001724765128888349,-0.0,-0.018284432890160823,-0.009724934119741485,0.03578782319754788,-0.04642447175281775,-0.03334258613778917,0.06822767031812055,0.007844164682109718,0.08545855505399133,0.04711583636823363,-0.0,0.25756934409411697,0.010539900437401823,0.11852396993423679
CA6,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0015614293906030465,-0.0,0.0049480722093132486,-0.0,0.0,0.0,0.0,-0.006397507830511914,0.0,0.0,0.0,-0.0,-0.0
MIR34AHG,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
H6PD,-0.0,0.0,-0.0,0.0009704300320052754,-0.004111569747741487,-0.0,0.0,0.0013088180901545245,-0.0013827268980104422,-0.00064237086889978,0.0,0.0,0.006313348726692005,-0.0,0.010599319198463302,-0.0,0.0014732201263368103,0.0,-0.0,0.007858254701816902
SPSB1,-0.0,0.0,-0.0,0.0062599915569184015,-0.0,-0.005395164220715423,-1.9369390941090983e-05,0.0,-0.004774823604516342,0.0,0.0013270086029711923,-0.005598957254808121,-0.0,-0.0,-0.0012649991444078435,0.0,0.0,9.972759651630357e-05,-0.0,-0.0
RP5-1113E3.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RP4-734G22.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RP4-635E18.8,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
