r,deviance,nu,JIC
0,-1.44567744703098,0.037658998081189214,-1.4080184489497907
5,-1.4480101711050144,0.04662542619575807,-1.4013847449092562
10,-1.4507364156559157,0.05559185431032693,-1.3951445613455888
15,-1.4806171646044626,0.06455828242489578,-1.4160588821795668
20,-1.4765444566200816,0.07352471053946465,-1.4030197460806169
25,-1.483258513380394,0.0824911386540335,-1.4007673747263605
30,-1.4803608212225,0.09145756676860237,-1.3889032544538975
35,-1.4637807200655306,0.10042399488317123,-1.3633567251823593
40,-1.4669545506560608,0.10939042299774009,-1.3575641276583208
45,-1.470976779742372,0.11835685111230895,-1.352619928630063
50,-1.5024619994032322,0.1273232792268778,-1.3751387201763543
