,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
RP11-34P13.7,-0.0014108831123990724,-0.0007544230071648106,-0.0014108976801313487,-3.955042391595969e-05,-0.001410886794539336,-0.0005556760830458019,-0.0014108896862603125,-0.0014109103748869377,-0.0014108958897051161,5.947914425415969e-05,0.00238753640672661,0.0010632869425825737,-0.001410896155834376,-0.0014109044209378223,0.0002869120881439873,-0.00041518421180633606,0.0016845228679356842,-0.0014108961996426308,0.00125804875863482,-0.0014108880746898141
RP11-206L10.9,0.003013589768819852,-0.0007453483548119205,0.004360247827461094,6.378180598469393e-05,-0.0032853917606989066,0.001390075428536114,-0.00029748970639910594,-0.0009225844328604716,-0.0018715872744726025,-0.00357645107859808,-0.005527400279055166,0.0032856414872872498,0.004428499896650035,-0.0025888813943199074,-0.005384083649137679,0.006468334667673579,0.004886354003426214,0.004713960796096208,-0.0002536372210769287,-0.004625524042200356
LINC00115,-0.005833725477024921,-0.0007500021342312309,0.0034350060501480524,0.0011162944003581296,0.006225188101880271,0.0009343405017684656,0.007396115805867495,0.0004077946901652124,0.005085259688019683,0.0013488115533568132,-0.0028199995124752082,0.002871845882602753,0.005905746324347625,0.007998911834372385,0.0064188130069917524,-0.0018867317827377238,0.00015144251261819873,-0.0043858846430539465,0.0010450584322877158,-0.0058337459951258025
SAMD11,-0.0007033335827957123,-0.0007033438596264379,-0.0007033408448964721,-0.000703343806355583,0.001548210978022665,0.0014236633063445146,-0.0007033368599044499,-0.0007033471733072909,-0.0007033399523584046,-0.000703342815020778,-0.0007033383663520779,-0.0007033373640777398,-0.0007033400850254161,0.00020686570861768022,0.0017434982777564008,0.002085184197727002,-0.0007033310465927393,0.0010768881183370164,0.0005636798935882059,0.0017684085830544697
PLEKHN1,0.008934376921432636,0.0021625878223853513,-0.003067891232616884,-0.002636306653169236,0.009527773500844395,-0.0014059670226241115,-0.003067873850543631,0.0016965521624498256,0.0023440517977890837,0.007858432277566534,0.0023171303601763455,0.0035441270165127575,0.0018080468107116148,0.00790266027774185,0.00013831466219302302,0.0015327132978820918,-0.0030678484935518367,-0.0006655479955976109,-0.0012250160010802153,-0.000548986497248456
ISG15,0.047377859303250405,-0.10154442765002268,0.030504256716433333,-0.00772131530109725,0.02353026166447492,-0.04431329087635616,-0.09073412802242808,-0.009339235428374316,-0.020786573150855213,-0.002675899670823625,-0.04750712837050199,0.039457892999883996,0.013940653640860409,0.032598205283664285,0.006044044872626151,0.013197264922681442,0.0080669720892048,0.0004233071547271449,-0.010100015460740965,0.025913180436682254
RP11-54O7.11,0.001992977530249465,-1.6989811338673843e-08,-1.6989738514754298e-08,-1.698981005113815e-08,-1.6989607432868514e-08,-1.6989770684733303e-08,-1.6989642253076345e-08,-1.6989891382963382e-08,-1.698971695472912e-08,-1.698978610440889e-08,-1.6989678644099303e-08,-1.6989654432217055e-08,-1.6989720160092386e-08,-1.6989819685167734e-08,-1.698971312807693e-08,0.0013611581950827608,-1.698950182827599e-08,-1.6989720687521826e-08,-1.6989801143139494e-08,-1.6989622848455447e-08
TTLL10,-2.0815080516210092e-08,0.0009623147175474628,-2.081529543909625e-08,-2.081538308484932e-08,-2.0815134841853908e-08,-2.0815334852512945e-08,-2.0815177506195163e-08,-2.0815482727892674e-08,-2.0815269025083764e-08,-2.0815353745946406e-08,-2.0815222089229554e-08,-2.081519242262262e-08,-2.081527295163392e-08,0.0015427791517405398,-2.0815264337627766e-08,-2.0815209107268923e-08,-2.0815005459260076e-08,-2.081527359636897e-08,0.0016042673371524884,-2.081515372564137e-08
TNFRSF18,-0.027533453362835907,-0.0002602259809246449,-0.03047631244970846,0.045888736231468365,-0.02174609223399352,0.03308355926433841,-0.003875956790882706,-0.00215398811650393,0.02465151656869309,0.005505527322445937,-0.010017476226517085,-0.009803503883202138,0.02389945142448656,0.000729221610577411,0.000997605483661859,0.001809070806264803,-0.0038822199356115567,0.036770478480554036,-0.027890277484096948,0.033781188669509084
TNFRSF4,-0.004330648321207866,0.014946652669037601,-0.012437912228308513,0.01120033325460994,-0.007475592064532182,0.014862798740796448,-0.017965462566700154,0.014929567224980494,0.04512313985269737,-0.006724967342882535,-0.005953324133799952,0.012387614433302961,0.023670223933429668,-0.004284837148090419,-0.02099458545981612,-0.012156893562684262,0.027321647209235016,0.04728063628592257,-0.024102669274291083,0.024702601732550317
