,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
MALAT1,-0.009405503592661643,-7.658831299272112e-05,0.0037366414895036535,-0.026478192457968595,0.008394844639556255,0.001318085763413325,-0.02820225211255044,0.029006871784130684,-0.00012995108687572098,0.0003146038194022364,0.0002861246266127679,0.0027164309022047212,-0.00045841075801684083,0.0031562211794836184,-0.011042255070397959,-0.011705294533981263,0.0023951808131885558,0.00018656580782286803,-0.044423966414368084,0.00016614547522235065,9.847645697756395e-05,0.5780404205850145
CCL5,-0.08749397829751683,-0.0005399762616929629,0.00136943970486902,-0.01487945168322041,0.005599094825360805,-0.00016055638704591904,-0.02697052177149404,0.014360289095234263,0.028987194252674695,-0.007184430146363275,0.0007180014472255109,0.0010730126012740888,0.0016583023795122406,-0.005961077850463191,0.033588072045856274,-0.001657628047780215,0.0013453010744720792,0.00031751631601961114,-0.02041682171875738,0.0018660965405699395,-0.00017257113230818809,0.3664075295718899
TMSB4X,0.008650021513244352,-5.014058174606244e-05,0.0034052074632720166,-0.025986909454948214,0.005412879250761302,0.00023240731433881324,0.00825861209917662,0.028484855016423154,-0.0030706022826079886,0.0005885277843741265,-0.0006542956113178107,0.0021070463450847997,-0.006710848453608229,-0.004575843151286093,-0.011950524723747531,-0.0001766479296437919,0.002416592458929356,0.0004279363269049147,-0.06703249397379797,-0.00034033945070454014,0.00010386944162961309,-0.40993427383863634
H4C3,0.00472692328549093,4.436092255984279e-05,-0.0007593843381754504,-0.00285748123672317,0.0008311234456404628,0.0007792075434118316,-0.001332471672205091,0.0029392105907218866,0.0018529729656822592,0.000844564585071906,0.00014482532574135477,0.0007761680049950206,0.0014636660799996286,0.0013836744416844643,-0.007657283430710624,0.0012908009153937562,0.00115206618545848,-4.7802197537567766e-05,-0.008705543383506707,3.2862332569821486e-05,0.0006096022511346924,-0.24166655059206663
B2M,-0.0399272494067804,-0.0004159620199469082,0.002769540973149243,-0.021373517538348766,0.006745654886018772,-0.0004250122970907758,-0.022341794084232265,0.023185973325837553,-0.002703885583399675,-0.00288396588003016,-2.173368257255763e-05,0.0016875755813470898,0.00533880343050965,-0.010600341302394276,0.02099971515435893,-0.02434162791297249,0.001106602886607344,-8.235925969996791e-05,-0.1260651999062326,0.0012878757314325486,0.0003628764315560513,0.4459868102882239
TMSB10,0.01268678046063232,4.9691625316082716e-05,0.0009618151847527127,-0.014503781565750976,0.0022812324088651893,0.0003315481935351816,0.0055096755666356485,0.015225905324733929,-0.0014240027347380572,0.000968025505138083,-0.00040468539472628086,0.0017210276727990183,0.0019874091215790345,-0.004128662484011175,0.025347914718390915,-0.0592999987926862,0.001239459145643434,-0.001109496926825095,0.05411925932763247,-0.0007704963349157397,-2.4258318695914636e-05,-0.6142066386122619
TUBA1B,-0.016866827379602028,-1.563701380488266e-05,-0.0016816417375673633,0.002670320233368643,-0.001063380497755304,0.0005772602668846344,0.009744896053726065,-0.003494748204817274,0.00041676307013548564,-0.0013878336908801161,-0.00016318879516640837,0.000226492560094996,0.0018162520039290324,-0.005437571234082458,0.007166107035206703,-0.011110262144903568,0.0001963624503009693,0.00016806187639275053,-0.02440483263148684,0.0008496157120732782,-2.7138559912649458e-05,-0.4796871907564293
LGALS1,-0.0761760582759063,-0.0006505525349916689,-0.0007208040639217636,0.0035054165272193323,-0.002554025876800871,0.0005044373785412498,-0.012166657585308719,-0.004427586913010445,0.00019498298151737368,-0.005525381519953203,0.00020733004501103384,-0.0006424276600728116,-0.002004368350189085,-0.009498736219573851,0.027121129584138107,0.03258194960434241,0.00041766429442124774,0.0008173716624413344,0.15814050714901834,0.0008210247623872764,0.0002320145950456469,-0.4612298185883116
LTB,0.0033230536728985974,0.00025284505576250775,0.0019831335227651473,-0.017301605507811024,0.005616114688281119,0.0017535566202830446,-0.010742141548928741,0.018898649761441167,-0.001509698447155202,0.0017589038171661646,-0.0005127523701025226,0.0018663152246265217,0.012217419200074154,0.002364543508946346,0.011185141793907848,-0.044050596037160786,-0.0002563103907628902,-0.0015657793545531002,-0.057443709402640306,-0.0005123949774286472,2.4149951130630292e-05,0.4872858343947356
GNLY,-0.0687465998534427,-0.0004152401438587967,0.0010664807176125565,-0.01198574681303843,0.0034666563476258923,0.00041644631416358827,0.01206734624411875,0.012344039808623974,0.013362016630338213,-0.0062512728647083635,-0.00029176216730742306,0.0012010009168126191,7.026607213161834e-05,-0.009099517300661542,0.02431619855769566,-0.004762233147837798,0.0005482828183061279,0.00029815519919853596,0.022641276411979324,0.001026133455428446,-8.891277576854759e-05,-0.0886054754049524
IL32,-0.0026894742967145976,-0.00011855729308514635,0.004244142401085957,-0.03126485057307449,0.008268154907657805,0.001562717275820752,0.04512833106696136,0.03482658454763525,-0.004544479632225327,-0.002085078915906914,-0.0007027376430451193,0.0030658866792187926,-0.004635837484566978,-0.00994500362135027,-0.010315668533221085,-0.00891931822039995,0.0026460941087227277,3.316938555730298e-05,-0.03838559216809942,0.0002582035436217926,-0.0001222397003267861,-0.20982387541119596
GAPDH,-0.03253403597040093,-0.000204097938626371,-0.0024336468628968068,0.01466701740764677,-0.005072196486965739,0.0004145606943283042,-0.013716670341237065,-0.016546778296778288,0.0036913590989557116,-0.0022010822649272573,0.0005616841105923969,-0.0014953784446812483,-0.004277270851525747,-0.0070775400844766325,0.015605216215649597,0.015875934593410263,-9.138959309829757e-05,0.0003722001949005141,0.33168451025519663,0.00014645611765468395,0.0002430842376522107,-0.6134432036060089
MT-CO3,0.008897153586129535,3.2318966967887272e-06,-0.0010986676062613976,0.006194819817751877,-0.0025807080993886043,-0.00013577088212131063,0.015601296019080571,-0.007088106923265903,0.0017051419829395317,-0.00014753618444320846,0.00016097007838444927,-0.0008618871187300947,-0.0028501968639534454,-0.0023061687536858775,0.009584102353776987,-0.0026007630525853413,0.0004910391698388747,1.1022869859731002e-05,-0.07012686342549602,0.0002783062120429319,-0.00013315150216594937,-0.4197141706630375
ACTB,0.006399983663573706,0.00017672922937962484,-0.0001286134421044049,-0.005361764095005675,0.0004178557491098023,-0.00020416226893308118,0.01755825984653079,0.005498045762871765,-0.00255503645106837,-8.87813226873069e-05,-0.0009494226503064277,0.00039752055889338914,-0.0028278165396992895,-0.008978744385043366,-4.731338681848978e-05,0.017974836306938274,0.0002464917765525021,0.0003643730903724611,0.04233121080932618,0.0004174661738179539,0.0002069933845863692,-0.5132023387427521
HMGB2,-0.010682914375562194,-4.341627452402669e-05,-0.0014782335529055968,0.0017613161169432847,-0.00029946923243487117,0.0007269580085734271,0.011649120633685051,-0.0024016709015724307,0.0022191511557253427,-0.0008263230602597548,-0.00026426395012644165,0.00015648262489569996,0.0011278530134044408,-0.003315360515528342,0.004314978267382433,-0.008929284430293732,0.000549799103908832,0.0003135368014551573,-0.028236606315024514,0.0007080807115830034,-9.780751180419858e-05,-0.3952204954966028
CD52,-0.031270508703974347,-0.00021979684718882768,0.003111190209364805,-0.021713241859429116,0.006183870333693322,0.002896636765675118,-0.014933412082465465,0.02367217389570874,-0.0004925725552333325,-0.001442933716949309,0.00041426024661199163,0.00173164078386305,0.007766192323094579,-0.00524526007770229,0.00036784295716286547,0.006532920321301963,0.002076004644309685,-0.0008013722382900813,-0.08173902598559603,0.0004276873717406189,-1.0254381611844067e-05,0.3746883857339275
H2AZ1,-0.010143953876048708,-5.8290658230562144e-05,-0.0017625544547477704,0.0037742666985909764,-0.0010846977362845224,0.00047639792191258884,0.0007277146099758271,-0.004668500651591489,0.001788388731288338,-0.0006126384382414278,0.00022193691527440165,-8.823459045893779e-06,9.827900129981213e-05,-0.0022498893567968418,0.0020548547176392836,0.0003786218451726185,0.0005042166975811135,0.00035004657420822184,-0.031749381141861203,0.0007223911022334443,5.447094731884786e-06,-0.48430537245003763
NEAT1,-0.044264581946590394,-0.0004725285898455996,0.0023450655600956417,-0.020159493316064255,0.006596739387731471,0.0008650587075076253,-0.007427431307272545,0.021522046800309776,0.0035967340681422235,-0.0035596918637917484,0.0002719245879264408,0.00199688356270309,0.006640630479422189,-4.658931253593876e-05,0.030922009821702158,-0.04514869511222591,0.0014618860086818694,-0.0007904294294844876,0.04469931701983871,0.0005283371312836543,-5.623080732888886e-05,0.4746023190980776
KLRB1,-0.08317947212278877,-0.00026323715508692224,0.0030416917137319364,-0.0268200784279088,0.00921522333379928,0.0035575629368087645,0.004593477769010931,0.02914281980598107,0.013162208582404605,-0.006055256945536789,-0.00023581169096895143,0.002377467112090131,-0.0034528853343214665,-0.007573905063486815,0.010445301538069093,0.0012046362539327032,0.0016916675741621083,0.0009425027879255271,0.014684870926199564,0.0010450066119704025,5.665348019701429e-05,0.09303933805534181
GZMB,-0.06537117965572925,-0.0004463524834827991,-0.0001384362363160983,-0.0008876075310690077,-0.0008298578364189209,-0.001320542032995183,-0.007330880825619005,-0.00028366848055273166,0.014013878701553037,-0.0063487058656087,0.00048029192643751556,0.0008351071151167698,-0.0015132075617619212,-0.007215522041267158,-0.0012451445960357105,0.03750221036136657,0.0002070372031893351,0.0006697096954873212,0.08341091696374586,0.000982619537343175,-4.736342995660027e-05,-0.2256263459440636
RPS27,0.05584797506254965,0.00043397984973673635,0.003987334687006716,-0.020638824844318032,0.007126753472559528,-2.195044694116384e-05,0.013504388140432477,0.023664785800919602,-0.001902365034680158,0.003940118351832187,-0.0006812703242758675,0.002343951570624813,0.003915228788142855,0.002197871139643169,-0.06244990397618813,0.04579580064496679,0.00019940572335734857,-0.00045795607398309296,-0.012688703899044482,-0.00184207924141611,-0.00015082545382998606,0.5656014072704022
EEF1A1,0.023987835053022665,0.00029391864780758936,-0.0019584119275857983,0.026585023562965326,-0.007125242000806681,-0.00016114274465678624,0.011918491616755298,-0.027644030564073753,-0.004845667166794382,0.002198550438865909,-0.0002394072862040332,-0.0035073191120523336,-0.002591890997811387,-0.0017728355666330508,0.011953506587746592,-0.02366708267296287,-0.0023868883900131353,2.096083809112657e-05,-0.10778133530167433,-0.0011301841762680392,0.0001216536039242649,0.10211020626182665
PTMA,0.03506919422347968,0.0004497510690593486,-0.002073562910123638,0.007749341225976645,-0.0021766036052518834,0.000732587329946676,0.004578292946532499,-0.008536794943300287,-0.004298738660934687,0.003246350172441793,-7.547419079369632e-05,-0.00045386693359847244,0.001482201056109659,0.0005942924688519119,-0.012386515051788907,-0.009746989942382014,-0.0004891103694737249,-0.0002721426810174284,-0.01661193930806408,-0.00013259683572871802,1.4826984478263122e-06,-0.39962130874450774
