"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"MOSPD2",1.12742027292778,0.740813261589434,8.64917283827907e-05,"standard"
"AQP3",-0.471165511657354,-0.359064628044545,0.000301703091527567,"standard"
"NOSIP",-0.266887125190325,-0.203733750564833,0.000403563200480412,"standard"
"TUBA1B",1.04585230401427,0.454742822650156,0.00059195138293058,"standard"
"LGALS8",0.655782034383116,0.388875032108391,0.000803119530267227,"standard"
"SLC25A45",0.675667294948125,0.434758247176685,0.00094501270460273,"standard"
"STMN1",0.62662266439563,0.301450050545026,0.0019637546169517,"standard"
"MKI67",1.26218882895647,0.673955209723288,0.00230118479484302,"standard"
"ZNF785",0.952333566369686,0.610784612681914,0.00238611737868704,"standard"
"CCNG2",0.747715846761214,0.434905400837394,0.00250841294882968,"standard"
"IL7R",-0.250043300966096,-0.188708896795107,0.00295905136395582,"standard"
"GATA3",0.535098511386596,0.305374226427201,0.00367754044702381,"standard"
"TECPR1",-0.877515993475005,-0.698842150295828,0.00386336042936659,"standard"
"CHP1",-0.752538398086667,-0.577133817225161,0.00428969935297957,"standard"
"SMC4",0.600173270062908,0.327834565130409,0.00433288365286087,"standard"
"P2RX4",-0.582588251851875,-0.456105338347741,0.00462604333506323,"standard"
"DGKH",0.870539475206038,0.53544920605236,0.00591402567829582,"standard"
"GOLGB1",0.387362540835996,0.233749022407151,0.00639650840376905,"standard"
"SDCBP",0.416926890122762,0.24808621501601,0.00645610900331095,"standard"
"LINC00426",0.835847823888833,0.50379860422821,0.00715897034513323,"standard"
"LMO4",0.65230495305369,0.37691124617791,0.00787588007478694,"standard"
"RIC3",-0.585978841052649,-0.456509032417876,0.0081065687144644,"standard"
"FAM179B",-0.962777536043801,-0.771765479846948,0.00820692475920434,"standard"
"DUSP16",-0.689212462717838,-0.538657787764891,0.0083024597816178,"standard"
"HMGB2",0.534702290795359,0.216885066528129,0.00855259437479577,"standard"
"HLA-DMA",0.628051971709351,0.370363866920522,0.00891972627566884,"standard"
"STAT1",0.524423849376359,0.310570869562717,0.00922396111383215,"standard"
"MYLIP",0.968453231732962,0.600668400067547,0.00964411111104423,"standard"
"INPP4A",0.525179780774785,0.323548034869139,0.00968262616997008,"standard"
"LRRC57",0.772822516098175,0.48013844515278,0.00991921809373592,"standard"
"RP11-382A20.3",0.895750038003318,0.555546172813587,0.0107727767300607,"standard"
"TRGC1",-0.978403771193201,-0.770290386158171,0.0113068346872148,"standard"
"CCR7",-0.31175505583611,-0.233226235137583,0.0114864308104477,"standard"
"TUBB",0.496930699417445,0.204538165240592,0.0118732158302191,"standard"
"LPAR6",0.562921874766336,0.342456885765274,0.0127629895232055,"standard"
"ZNF143",0.744440714728353,0.47446095647888,0.0133471268536094,"standard"
"GNB5",0.572115621165553,0.357899049844765,0.0136282593638101,"standard"
"DPYD",-0.653845420261166,-0.515303583713713,0.0143011507703447,"standard"
"TNIK",0.465810882678171,0.278795104420735,0.0147327892153993,"standard"
"PRNP",0.63776885989581,0.391709180979759,0.0155351041549617,"standard"
"MANBA",-0.696131876657629,-0.580121076883036,0.0156183400889317,"standard"
"FNIP1",0.382872159188717,0.230548526234475,0.0163987571743806,"standard"
"PCNX",0.57724065334342,0.33318572925234,0.0179633365534067,"standard"
"MCM7",-0.723482364802584,-0.574974511988778,0.0186971906179047,"standard"
"PDCD4",0.339430675737104,0.192768506868361,0.0190739982076146,"standard"
"FKBP11",-0.377069649079823,-0.292250659945452,0.019535267533789,"standard"
"INO80D",-0.561244301114705,-0.460114171572473,0.0202616930836113,"standard"
"BAZ2B",0.753839412730603,0.468406605429378,0.0204007719946472,"standard"
"ZCCHC6",0.434226040404781,0.258215717881019,0.0207869656221413,"standard"
"MGAT5",0.732367882427778,0.460933089013025,0.0211316721837185,"standard"
"DDIT3",0.586937442906214,0.36646445339911,0.0213571723252099,"standard"
"HGSNAT",0.624528905145654,0.377492162989382,0.022838290976519,"standard"
"INPP4B",0.682985386603689,0.399368930324081,0.02335829436632,"standard"
"MCTP2",0.770435923261297,0.468862379481921,0.0233668138082634,"standard"
"CPQ",0.798005419978392,0.490151442813903,0.0239175226923978,"standard"
"STIM2",-0.30844486552374,-0.269283560261008,0.0242469902715785,"standard"
"RNPC3",-0.446678508983083,-0.37166294000379,0.0246906947919216,"standard"
"SMC1A",-0.34044818285816,-0.289956495567604,0.0250156416346581,"standard"
"BLMH",-0.370482067789525,-0.304036602521069,0.0251652144637613,"standard"
"CDC25B",0.317641208323224,0.184961951913465,0.0257642280743229,"standard"
"TPM4",0.396890152568584,0.186069736065507,0.0257682361082006,"standard"
"ID2",0.402923791524847,0.224428655807516,0.0259772358806012,"standard"
"ARID2",0.550738330002915,0.333279051194211,0.0261770087941538,"standard"
"SYTL3",-0.48062584090642,-0.418658193765159,0.0265825057871838,"standard"
"TUBA1C",0.689299160535892,0.38430181247478,0.027535727797922,"standard"
"CAMK2D",-0.464901488613404,-0.376812366536778,0.027859775228394,"standard"
"PASK",-0.267486058848646,-0.197358690383035,0.0282307834064969,"standard"
"NXPE3",-0.670103639770133,-0.539028979345284,0.0286484769253609,"standard"
"KIAA0907",-0.391358502809333,-0.339288732396067,0.029571804834842,"standard"
"GBP5",0.423262266540575,0.260005222686349,0.0297351167542844,"standard"
"PIAS2",-0.454291693092958,-0.362434782797713,0.03068089810935,"standard"
"BACH1",-0.639824435755675,-0.516017959442066,0.0318400946536779,"standard"
"GNLY",1.01122725542325,0.572895340229489,0.0325898352880875,"standard"
"SLC16A7",-0.427383819629441,-0.345262765661748,0.0334037761875064,"standard"
"ZNF92",-0.485071745937613,-0.387003288525227,0.0334272917768628,"standard"
"HIST2H2AC",-0.394623323009199,-0.334385629116321,0.0341012493571776,"standard"
"C16orf74",-0.292965357925097,-0.222138136293947,0.0341021602409717,"standard"
"ZCCHC11",-0.206620317251624,-0.177045883850626,0.0342875051718353,"standard"
"CFAP36",0.436730264941438,0.24996473524974,0.0351399796789404,"standard"
"CKS1B",0.6716692665141,0.355514022727688,0.0355962368964721,"standard"
"FAM46C",0.760852421560926,0.455167872538372,0.0357271061767816,"standard"
"TUBB4B",0.59293076606366,0.308125898847335,0.0359393653781787,"standard"
"FAM76A",-0.698971429180167,-0.564024564166853,0.0365963328911025,"standard"
"PARP15",0.724632233648173,0.439466583092591,0.0369130102579413,"standard"
"B4GALT1",-0.522446016601048,-0.399707224978851,0.0381669350706633,"standard"
"NPC2",0.218199562986642,0.117444770346321,0.0383683434287967,"standard"
"IRF1",0.318780328035693,0.187017073464677,0.0388336912859384,"standard"
"LINC00847",-0.490609929479043,-0.393061509041885,0.0411461614124467,"standard"
"NLRC3",-0.452880850423516,-0.385047230520462,0.042025085384002,"standard"
"LINC00891",-0.646984227328541,-0.513966385123576,0.0420455217451744,"standard"
"HN1",0.349449157651267,0.185652241513448,0.0428034207680842,"standard"
"FAM208A",0.419393277996812,0.237234732497457,0.0430321346414993,"standard"
"TUG1",-0.51341577602409,-0.420415159618924,0.0431829364387009,"standard"
"LINC00324",-0.565514738492934,-0.478294988375598,0.0432982294284153,"standard"
"ZNF512",-0.569435107864277,-0.474009332586224,0.0437574217157435,"standard"
"TAF1",0.658710840702469,0.404627070267224,0.0437611192864183,"standard"
"GZMB",0.776762001786231,0.387910043266764,0.0440093870372827,"standard"
"PLSCR1",-0.625015750241595,-0.5124686942848,0.0448498164500793,"standard"
"TIMP1",-0.279894792682934,-0.230633491868225,0.0451574827343836,"standard"
"TMED4",-0.365805438904563,-0.28784322734442,0.0451670275728864,"standard"
"WDR73",-0.444556586198899,-0.361395148842227,0.0463973228972718,"standard"
"SERPINB9",-0.500525398344126,-0.395955890395294,0.0479004324521701,"standard"
"APC",0.487665299366241,0.292072070019781,0.0483641613464197,"standard"
"PTPRE",0.483191822786933,0.28476636259409,0.04897414012109,"standard"
"RILPL2",0.450227998052814,0.254719687794899,0.0489978968618024,"standard"
"RP11-629O1.2",0.743746944558268,0.433728942180333,0.0508629512710831,"standard"
"TESPA1",-0.2290170418704,-0.206006023654251,0.0511051915835944,"standard"
"CD74",0.281313284027332,0.134595670475654,0.0540131374586844,"standard"
"MT1E",0.517118185153211,0.318237610696878,0.0548878778484766,"standard"
"POLD2",-0.586335282077536,-0.496576843587938,0.054973336977305,"standard"
"IQGAP2",0.330612515638412,0.162357941510245,0.0552173063160601,"standard"
"LINC00954",-0.507098052267612,-0.43009982458308,0.0556881475694359,"standard"
"TNFRSF1B",0.396225928320714,0.225531696678216,0.0557562257433652,"standard"
"MAN1B1",-0.416053839610337,-0.357241077131219,0.0564474818770335,"standard"
"SSBP2",-0.381090167355506,-0.302766217958516,0.056568729790808,"standard"
"CKLF",0.306965826329754,0.177303948830047,0.0566657986199307,"standard"
"CPT1A",-0.511127929303765,-0.40756110801751,0.0578263302853528,"standard"
"WDFY2",0.522788823506344,0.318365309499222,0.0584817411525384,"standard"
"C1orf27",0.570904459733661,0.345983098956253,0.0587227190119351,"standard"
"CEP290",-0.46682004138139,-0.382244750802833,0.0588506346487051,"standard"
"RASA3",-0.338416217675931,-0.271550663668687,0.0592747738637953,"standard"
"AP1G1",-0.530749320332257,-0.431746137916232,0.0598454886624189,"standard"
"TRMT10B",-0.567040592723894,-0.479184696397213,0.0605313945110064,"standard"
"ICAM2",-0.299385526236274,-0.252041929303968,0.0609377642439051,"standard"
"ANXA1",0.376009983922402,0.171233418456101,0.0621118088810486,"standard"
"ITPR2",0.38367287797763,0.22703282961387,0.0624188542235899,"standard"
"PPP3CC",-0.407562378716697,-0.331184258355784,0.0629057226002188,"standard"
"VPS37B",-0.550166774159497,-0.475625491526827,0.0637527746942254,"standard"
"ANGEL2",0.50997546109133,0.288970601260193,0.0646275198883602,"standard"
"SGF29",-0.372276118585062,-0.303821399307819,0.0649776453212795,"standard"
"WHAMM",0.364238176163567,0.213930127801838,0.0667073993355288,"standard"
"TRA2A",-0.313560493603349,-0.255750673499178,0.0670517353099902,"standard"
"ADCY7",0.573821943115956,0.317175765723304,0.0682491476747768,"standard"
"DCTPP1",0.492901947732388,0.292309723141568,0.0687535253919217,"standard"
"CASP1",-0.429641912187616,-0.35300983441457,0.0692139020399129,"standard"
"STAT6",-0.336763136050304,-0.280820499563869,0.0694256670786429,"standard"
"SLAMF7",0.615718028154784,0.358040615868666,0.0697516729404784,"standard"
"RASGRP2",-0.268665619666896,-0.231826355906196,0.0703736900097126,"standard"
"GALT",-0.26561294993557,-0.239986886333667,0.0709290739849308,"standard"
"IDS",0.37780651831484,0.208241182216623,0.071782608284967,"standard"
"SLC30A7",-0.371242381399159,-0.326958770642717,0.0719125479487066,"standard"
"MYC",-0.273137426507625,-0.215956646069684,0.072547741279812,"standard"
"CD70",-0.465518948516213,-0.404212232289117,0.0728931983277658,"standard"
"EPSTI1",-0.403147088228704,-0.343530656491917,0.0731960320176981,"standard"
"RP11-347P5.1",0.457735093301193,0.282548605318725,0.0732810265719395,"standard"
"GLIPR2",0.646230438644006,0.374073019224191,0.0734507699065416,"standard"
"MYO5A",0.534020935057981,0.311553940745893,0.0734906704519748,"standard"
"TMEM260",0.618909832644494,0.374926704862943,0.0736881931920108,"standard"
"ADAM17",-0.445860422745744,-0.362166934972839,0.0743003152063824,"standard"
"HNRNPA2B1",0.216890482027905,0.097876083952255,0.0743697224113491,"standard"
"FNDC3A",0.456099984242861,0.265170470781008,0.0746413125234764,"standard"
"JMJD1C",-0.223717537869468,-0.202236555184763,0.0762587466192028,"standard"
"NUSAP1",0.844950030996086,0.436360552157207,0.0763835266442052,"standard"
"STMN3",0.279210877228781,0.166232576346272,0.0783643041850387,"standard"
"PYHIN1",0.475860023477597,0.258935856332099,0.0784413876036605,"standard"
"HDAC5",-0.446837527450137,-0.393699913453046,0.0784816235375038,"standard"
"LY96",0.450726812144009,0.265093787950991,0.0786250607534348,"standard"
"ACAT2",0.451531513312528,0.261985922051847,0.0799214597219092,"standard"
"TMPO",0.383620417293604,0.192128298225125,0.0808589405069572,"standard"
"VPS41",-0.390428031934842,-0.335500445555967,0.0812240610800323,"standard"
"CERS5",-0.46044795896879,-0.382254417068464,0.0816026027215215,"standard"
"HNRNPH1",-0.256972653046593,-0.2032620331572,0.0817199507271835,"standard"
"HLA-DQB1",0.386154541327945,0.193211301237841,0.0844123513618337,"standard"
"SMCO4",0.599413657018697,0.355536975316591,0.0876788278835237,"standard"
"MT1F",0.353295880436806,0.199786594130393,0.0882989267489793,"standard"
"MECP2",-0.252024932136501,-0.2199182948898,0.0884724361135755,"standard"
"ANKRD26",-0.300647174800185,-0.267196464150141,0.0899528301011699,"standard"
"SYTL2",0.380667888261987,0.218374283104074,0.0908405320057424,"standard"
"ERAP2",-0.217591435072626,-0.18744128362008,0.0908432466005388,"standard"
"MAF",0.699352825199814,0.405034962904667,0.0910805669713572,"standard"
"ILF3-AS1",-0.242682416035457,-0.215989528123584,0.0917123079223967,"standard"
"TMEM2",0.443823126086403,0.257221470231311,0.0924678863058464,"standard"
"ICOS",0.434042105293818,0.245138971938538,0.0932253595701569,"standard"
"SCAMP1-AS1",0.511381368340049,0.30614473920352,0.0943665389285748,"standard"
"EZH1",-0.323836241653242,-0.279426793906455,0.0950506387168766,"standard"
"ITGB1",0.409329463622629,0.213871029409512,0.0951109345474297,"standard"
"CYTH4",-0.233332284075791,-0.208913394704533,0.0961344800287707,"standard"
"INTS6-AS1",-0.472588521841002,-0.407252401887386,0.0966448332364817,"standard"
"HVCN1",-0.496567384775442,-0.415531466198291,0.0967159866376096,"standard"
"SLIRP",-0.241791129943957,-0.216735386790375,0.0973083240678045,"standard"
"SLC8B1",0.51096191927738,0.300147095327828,0.0982739339013645,"standard"
"F2R",0.597800806050395,0.333733990923162,0.0993698003888362,"standard"
"SEC23A",0.464805216554156,0.261692864487835,0.0996146460824687,"standard"
"TNKS2",-0.212520445525205,-0.210237890945413,0.0999574339333456,"standard"
"CD28",-0.217591435072627,-0.187757106563366,0.100443666131305,"standard"
"CKS2",0.488312102802715,0.226068393459609,0.100671517672193,"standard"
"PDLIM2",0.333490172972752,0.184526741382763,0.101573315699121,"standard"
"RUFY2",0.523713094817917,0.307967310840542,0.101874919161384,"standard"
"NKG7",0.453653422816222,0.195753051963785,0.102235416949467,"standard"
"VCPIP1",-0.310700839464108,-0.270464199753027,0.102301653207061,"standard"
"KDM7A",-0.342711234366729,-0.290252067788438,0.10234577325123,"standard"
"ZFP90",0.523289209096963,0.299417834671779,0.103002145086196,"standard"
"NT5E",-0.474447265977296,-0.379871841573044,0.103175302918231,"standard"
"NSUN3",0.577790845318901,0.346718555169133,0.104108123250182,"standard"
"ZNF506",-0.472588521841002,-0.402159691149595,0.105737763979692,"standard"
"PACS1",-0.22940073736226,-0.205702061984582,0.107275724132954,"standard"
"GPR171",0.235653207221383,0.118225245650448,0.108579833057486,"standard"
"GOLGA5",-0.350857965936091,-0.309533674826573,0.108929992026292,"standard"
"FRYL",-0.244391494416342,-0.218212702853925,0.109328301769178,"standard"
"FGD3",0.27364420135424,0.146453808117826,0.110458272757137,"standard"
"VEZF1",0.405717377298012,0.231845451634658,0.110569515095388,"standard"
"DOK2",0.379148233424883,0.185011989455952,0.110710176937188,"standard"
"VPS8",-0.250381370190296,-0.225799549985592,0.110779744793072,"standard"
"SYNC",0.530100565686638,0.333790799944134,0.111316343849025,"standard"
"DCAF10",0.463023304712216,0.255360932296532,0.111998355044464,"standard"
