,gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj,trt
0,RP11-34P13.7,0.0,inf,,0.0,,,,,ARID1A
1,RP11-206L10.9,-0.4581613932229688,0.38695517903889187,-1.1840166976468356,0.0,0.23640645311627695,0.2463918520385168,0.21001302365016883,0.9800003134566972,ARID1A
2,LINC00115,0.0,inf,,0.0,,,,,ARID1A
3,PLEKHN1,0.0,inf,,0.0,,,,,ARID1A
4,ISG15,-0.24947896722037144,0.14961933854891554,-1.6674246099464507,0.0,0.09543000370799577,0.10495482693523192,0.30893948094012125,0.9897567148625651,ARID1A
5,TNFRSF18,-0.540067479833642,0.8643711321125097,-0.6248097139867749,0.0,0.5320959544081849,0.5374951085991707,0.12685377197869588,0.9016499189203633,ARID1A
6,TNFRSF4,-2.0397732848412273,0.64983599563455,-3.1389047368012224,0.0,0.0016958056777689834,0.0026709170713142692,0.7650700632991835,0.991856168492025,ARID1A
7,ATAD3C,0.0,inf,,0.0,,,,,ARID1A
8,TMEM240,0.0,inf,,0.0,,,,,ARID1A
9,C1orf233,0.0,inf,,0.0,,,,,ARID1A
10,RP11-345P4.9,-1.0407570010097609,0.18219417456893913,-5.712350592285026,0.0,1.114262318719912e-08,5.273566088761289e-08,0.33808657561361477,0.9897567148625651,ARID1A
11,MIB2,-0.3341332532151708,0.12006639654102728,-2.7829039834721434,0.0,0.005387474728010336,0.007542987167684694,0.6364357068245707,0.991856168492025,ARID1A
12,SLC35E2B,-0.2579533742010844,0.05956569051788555,-4.330569694707556,0.0,1.4872406332828303e-05,3.6855482474571084e-05,0.7770706367452966,0.991856168492025,ARID1A
13,RP11-345P4.7,0.0,inf,,0.0,,,,,ARID1A
14,SLC35E2,-0.8164324500697465,0.14065086950786357,-5.804674033843076,0.0,6.449134416193403e-09,3.249328282644041e-08,0.3158413884917737,0.9897567148625651,ARID1A
15,CFAP74,0.0,inf,,0.0,,,,,ARID1A
16,RP5-892K4.1,0.0,inf,,0.0,,,,,ARID1A
17,SKI,-0.27309569743623674,0.1159533183135143,-2.3552210614433755,0.0,0.01851168939068298,0.023236194465609462,0.4955211794852248,0.9897567148625651,ARID1A
18,PLCH2,0.0,inf,,0.0,,,,,ARID1A
19,RP3-395M20.12,-0.09872802966631695,0.08337435459871684,-1.1841534503205187,0.0,0.23635232499193737,0.2463918520385168,0.21003731366162703,0.9800003134566972,ARID1A
20,RP3-395M20.8,0.15907721458834062,0.13749298186692102,1.1569842506020482,0.0,0.24727879498507055,0.2571663836894448,0.016539223371899718,0.2984296117167155,ARID1A
21,TTC34,0.0,inf,,0.0,,,,,ARID1A
22,MEGF6,0.0,inf,,0.0,,,,,ARID1A
23,RP11-46F15.2,-1.1799896069882867,0.22517583145020492,-5.24030309731188,0.0,1.6031306409865221e-07,5.941255661781887e-07,0.46696808073697027,0.9897567148625651,ARID1A
24,TPRG1L,-1.3204782453281432,0.12050032415490072,-10.958296208653307,0.0,6.063005851762957e-28,1.458658157836638e-25,0.0004317225066291291,0.069243493146572,ARID1A
25,CEP104,-0.3389214489794863,0.06300815705181224,-5.379009081328752,0.0,7.489693122205376e-08,2.990697654745079e-07,0.42652029129404434,0.9897567148625651,ARID1A
26,TNFRSF25,-0.2556845731010379,0.046910170700590705,-5.450514659879894,0.0,5.022426230348561e-08,2.0684371650522532e-07,0.40649292502264633,0.9897567148625651,ARID1A
27,NOL9,-0.5367881933432962,0.15425942759305272,-3.4797756073578947,0.0,0.0005018339073444676,0.0008943175867305419,0.8946995496972973,0.9978728587407634,ARID1A
28,UTS2,-0.2330205305267898,0.07155088632832964,-3.2567106081330035,0.0,0.0011271128069522522,0.0018563412064240192,0.8093247269540222,0.991856168492025,ARID1A
29,TNFRSF9,-2.2203773358559467,0.49627477926650126,-4.474088606996481,0.0,7.673791739556524e-06,2.025067344798874e-05,0.7239173385276977,0.991856168492025,ARID1A
30,ENO1,-0.18355422877749392,0.06237462468023608,-2.9427708738687546,0.0,0.0032528907320799774,0.004781616875516748,0.6931273154851569,0.991856168492025,ARID1A
31,CA6,-0.41262031475075805,0.21627419110389423,-1.9078573945632868,0.0,0.056409650231586984,0.0646505201344151,0.36810388780623604,0.9897567148625651,ARID1A
32,MIR34AHG,-0.7563124354021677,0.27855413272665003,-2.715136293254533,0.0,0.006624849997248131,0.009129327895969142,0.613008627102976,0.991856168492025,ARID1A
33,H6PD,-0.26400981352498365,0.1477257324896411,-1.7871619864433346,0.0,0.07391131128476756,0.08286677890451416,0.3375717272759302,0.9897567148625651,ARID1A
34,SPSB1,-0.21170735906768604,0.13606256929296734,-1.5559559118117325,0.0,0.11971857654128144,0.1297400639919968,0.2837706467854523,0.9897567148625651,ARID1A
35,RP4-635E18.8,0.0,inf,,0.0,,,,,ARID1A
36,SRM,-0.4993123044076373,0.12470469467564348,-4.003957555137335,0.0,6.229154566223227e-05,0.00013603305017160708,0.9016063242649107,0.9978728587407634,ARID1A
37,FBXO2,0.0,inf,,0.0,,,,,ARID1A
38,FBXO44,-0.2144809740506721,0.09370519027427872,-2.288891078742575,0.0,0.0220856817389534,0.02733020282055657,0.4752599451166579,0.9897567148625651,ARID1A
39,TNFRSF1B,-0.27532021792604944,0.06117911942120456,-4.500231787099309,0.0,6.787940462496552e-06,1.821262464240478e-05,0.7143683074407461,0.991856168492025,ARID1A
40,VPS13D,-1.1383054527569985,0.10665955189758204,-10.672325473953203,0.0,1.3715022494274823e-26,2.1997372189428566e-24,0.0007242420272691322,0.08108730469178096,ARID1A
41,DHRS3,-0.45835758140626987,0.16152828778521913,-2.8376304094533498,0.0,0.004544977610783939,0.006441507296187153,0.6556249751089804,0.991856168492025,ARID1A
42,PRDM2,-0.41678169405646937,0.10676562373944146,-3.9037068249009956,0.0,9.473052373949135e-05,0.0001988996523897538,0.9404745632705277,0.9978728587407634,ARID1A
43,DNAJC16,-0.18476934331996636,0.12422192324736138,-1.4874133203688833,0.0,0.1369056809466482,0.1471586286648396,0.2690031260409924,0.9897567148625651,ARID1A
44,FBLIM1,0.0,inf,,0.0,,,,,ARID1A
45,FLJ37453,-0.686526311629786,0.23332407958333806,-2.9423723126038275,0.0,0.003257080754700611,0.00478533951085021,0.6929836510757736,0.991856168492025,ARID1A
46,FAM131C,0.0,inf,,0.0,,,,,ARID1A
