,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
RP11-34P13.7,0.0,0.0,-0.0,-0.0,-0.0,0.0001827872771765759,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
RP11-206L10.9,0.014334026931088609,-0.003908619678907093,0.0,-0.007954376089255718,-0.005773131571018062,-0.0,-0.0,-0.0,-0.0,-0.0056160436534751735,0.0,-0.004178303258977238,0.0,0.0,0.002944222098360147,0.0,-0.0,-0.0,0.020105397818535143,-0.0
LINC00115,0.0,0.007776953630130703,0.0002196420026114566,-0.0,-0.0,-0.0,0.005632809694369707,0.0006579413308324475,0.0,0.0,-0.0,-0.0033318089679506774,-0.0,-0.0027951808978832027,-0.0,-0.0029255470870276374,-0.0,0.0,-0.0,-0.0
SAMD11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PLEKHN1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.00782661066464984,-0.0,-0.0
ISG15,0.0799535019825623,0.019283145975142035,-0.044750139041976424,0.07005971222523324,-0.005701055310853298,-0.0,0.017300900694486563,-0.04056631535406557,0.05083120144969004,0.010768868351830756,0.014607726985747591,0.01584684568246423,0.020145807105641737,-0.0,-0.00548962116264867,-0.010954595384966364,-0.002994205301167288,-0.0033982218174965647,-0.006880274911369025,0.02265506658775233
RP11-54O7.11,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
TTLL10,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
TNFRSF18,0.005064068168861005,0.0,-0.0,0.0013652227680549308,0.0,0.0,0.0,-0.0,0.0,0.0,0.0030558748330389925,-0.0,0.0,-0.0015398348631334548,-0.0,-0.0,-0.0,-0.00295956141389319,-0.0,-0.003400366992443372
TNFRSF4,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006167979822472736,0.00268374389183134,-0.0,0.0,-0.0,0.0,-0.0001227653744810739,0.0,0.0,-0.0,0.0,-0.0,-0.0002539645369792,-0.0
RP5-902P8.10,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MXRA8,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
ATAD3C,0.0,0.00174072774264325,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
TMEM240,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C1orf233,-0.0,-0.0,-0.0,0.003681642029088098,0.0008504766811323897,0.0,0.0,-0.0,-0.0,0.0,-0.002780194628181364,-0.0,-0.0,0.0008552222474120206,0.0,-0.0,-0.0,0.0,0.0,-0.0
RP11-345P4.9,-0.0007107533812888985,0.00423080958978698,-0.0,0.0019304639832018941,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.008478094818625397,-0.007979128100932428,-0.0,0.0,-0.001302897849477764,0.0,0.01370242406352589,0.015180140969440857,0.0
