r,deviance,nu,JIC
0,-1.432103552555471,0.03771540621259602,-1.3943881463428751
5,-1.4340448151580374,0.04669526483464269,-1.3873495503233948
10,-1.4361408873757429,0.05567512345668936,-1.3804657639190534
15,-1.438223396198447,0.06465498207873603,-1.3735684141197109
20,-1.4403567033988418,0.0736348407007827,-1.366721862698059
25,-1.442325500576358,0.08261469932282937,-1.3597108012535286
30,-1.451373440485856,0.09159455794487605,-1.35977888254098
35,-1.4578113334056737,0.10057441656692272,-1.357236916838751
40,-1.4461891883120124,0.10955427518896939,-1.336634913123043
45,-1.4527957401937202,0.11853413381101606,-1.3342616063827042
50,-1.4736699011381997,0.12751399243306272,-1.346155908705137
