,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
RP11-34P13.7,0.007241330289453323,0.002951621984449024,-0.0012887690838492855,-0.0012887721141956346,-0.00019931234028158667,0.008197293676018744,-0.0012887539517784851,0.0017070446224257089,0.002637195539517269,-0.001288776932951258,-0.0012887596579629456,0.001304924803575838,0.0006220381974956692,4.70206999448007e-05,0.0023658054977394576,0.0006330096613401866,-0.0012887440892765528,0.005598160753617608,0.0017272516152991718,0.002381691311237544
RP11-206L10.9,0.021126013619415594,-0.012670289265620345,-0.00117455753333577,-0.017517736220914334,-0.016050463975382703,-0.01088990753081982,-0.00501318775600883,-0.005375947165851319,-0.007651111050806121,-0.014164046351270256,0.003273731747028849,-0.013648349702501863,-0.004043169786501951,-0.0011533580413688876,0.0066998666313239,0.0010327874285645472,-0.005694498188908662,-0.008287224744132717,0.02017671373468135,-0.008711175124515629
LINC00115,0.010468632500391479,0.012102436742525056,0.005915773452780757,-0.0025155269839067344,-0.0038568948816718207,-0.0016331077419601179,0.014510832604667978,0.003197879659481014,0.0043912171440566765,-5.4869552335735226e-05,-0.005190729452465822,-0.008836822475113434,-0.0021660171259479913,-0.007342601542460791,-0.003114577330599934,-0.01088232752531823,-0.006825114672234892,0.0033524368762748737,-0.0010226839763689633,-0.0013318437278232325
SAMD11,-2.1364966204864122e-08,-2.13654713415233e-08,-2.1365358855240797e-08,-2.1365409092706142e-08,-2.136535132022251e-08,-2.136528404836358e-08,-2.136510799553886e-08,0.0011447988205197878,-2.1365366158753493e-08,-2.1365488980288677e-08,-2.136520259192238e-08,-2.1365414946842723e-08,0.002163016965220781,-2.1365491202008055e-08,-2.136519882901208e-08,-2.136521898708816e-08,-2.136494449276557e-08,-2.1365237904691743e-08,-2.136549876354259e-08,-2.1365213617168347e-08
PLEKHN1,-0.008665279511390312,-0.0045978323389330375,-0.0006468280529922268,-0.0075035247240456925,-0.008145190308628683,0.002407796980542546,-0.0022981620064913538,-0.0019433648457541093,-0.0028541452116759695,-0.00023196339830837683,-0.0016968055850923058,-0.00765380846820486,-0.0032622870139061657,-0.002366729971091786,-0.009392510094927517,-0.0036455323434142653,-0.007654873309013275,0.012325849076124596,-0.004266149815697235,-0.005257256894464979
ISG15,0.09470930968950195,0.026954962709906972,-0.04790891033573262,0.07879205099149138,-0.008723747882107096,0.0006542411310108642,0.029577886704907404,-0.04041693658165409,0.060024041963739845,0.018178021228902174,0.02566110196343739,0.024216489717166695,0.02921191294369334,0.0026627202380792485,-0.010426995159696618,-0.015680883985646342,-0.011097208915041845,-0.007829813711027638,-0.008058449042797332,0.03362990087717591
RP11-54O7.11,-3.7842381193379364e-08,-3.7843275906745595e-08,-3.7843076670040094e-08,-3.784316565178043e-08,0.0016637794075285426,-3.784294416503578e-08,-3.7842632335522044e-08,-3.784352447259177e-08,-3.7843089608034464e-08,-3.784330714968806e-08,-3.78427998890813e-08,-3.7843176018331566e-08,-3.7843082262422364e-08,-3.784331108477559e-08,-3.78427932273425e-08,-3.7842828927661704e-08,-3.7842342738991664e-08,-3.78428624362862e-08,-3.7843324476522466e-08,0.004195140503389476
TTLL10,-7.294185204834811e-08,-7.29435766258307e-08,0.0026538883471942058,-7.294336410752403e-08,-7.29431668686971e-08,-7.294293719029484e-08,-7.29423361336003e-08,0.0009048974198259508,-7.294321752973257e-08,-7.294363684982915e-08,-7.294265909662407e-08,-7.294338409059231e-08,0.0030114792610518256,-7.29436444342225e-08,0.0029348783210353478,-7.294271507087905e-08,-7.294177792394393e-08,-7.294277965874115e-08,0.001787808491724611,-7.294269673078203e-08
TNFRSF18,0.014802721678321982,0.0013348254317984748,-0.0016957050444723657,0.00552644075342391,-0.0007771092139475939,0.0022085815243211068,0.0008372909660003551,-0.003658427548185284,0.0031912816800059775,0.0006662078990642691,0.009812287040573775,-0.002703796498281361,-0.0003416372413445775,-0.006995480294722459,-0.0037010189454679907,-0.007821306853605164,-0.008743342004527963,-0.011593273095128701,-0.001803538806945397,-0.012341630935080202
TNFRSF4,0.007490057570440718,-0.0018440786922385675,-0.0034642329557630744,-0.0009893456875077293,-0.006570811146919901,-0.0033371249855970583,0.009138877169887955,0.004918681472705133,-0.0046579339217513675,0.0034214343329766017,-0.0036128422793160935,0.001889412433770911,-0.006582639173755469,0.001847058740117428,0.006750549999314457,-0.0016428652568061272,0.0016991190926615562,-0.0031873733352353268,-0.005006720332268683,-0.0029113085156310644
